,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count
63,2022-03-21 19:29:25+00:00,1499148043026935809,"b'@TasetiReloaded Yes, they are THIEVES by nature. They create multiple Ponzi schemes devised to provide the melanin-deficient to impunity for stealing from the melanin-rich in perpetuity. #Ukraine #Zionists #Nazis #JudgeKetanjiBrownJackson #Noahide #OTO #CIA #HBCU #Bitcoin\nhttps://t.co/PVnaN1VWYY https://t.co/o29fVKt1We'",1,0,1,0
64,2022-03-21 19:29:15+00:00,1293563320113471490,b'Pray for Ukraine.Pray For BTC\n\n#Ukraine  #BTC  #UkraineRussiaWar',0,0,1,0
65,2022-03-21 19:24:35+00:00,1481785394358370305,b'Amazing\xf0\x9f\x99\x8f Learn how you can help Ukraine in these difficult moments.\n\n#NFTCommunity #NFT #NFTs #ETH #BTC #Ukraine #CryptoNews \n\nhttps://t.co/P2R7z1cP91',2,1,17,4
66,2022-03-21 19:21:07+00:00,1090373262482190337,"b'BTC tries new \xe2\x80\x98Sanction Evader\xe2\x80\x99 narrative, fails miserably (again) \n\nhttps://t.co/YRO1ZAKDG6 \n\n#news #market #business #economy #bitcoin #btc #crypto #cryptocurrency #russia #ukraine #decentralized #Decentralization #Cryptos #security #democracy'",1,0,2,0
67,2022-03-21 19:18:40+00:00,1390423077595516931,b'click the link to buy : https://t.co/bhlp1AQEou #OpenSeaNFT #Polygon #AnimeNFT #Cryptos #NFTs  #ETH   #UkraineRussianWar  #Ukraine #Dolar #Bitcoin #Anime',1,0,2,2
68,2022-03-21 19:18:16+00:00,1469577636426833930,b'#Iran #India #paranormal #bank #weed  #loan #BTC #hiphop #Live #Ukraine #poverty  #NickiMinaj #Raw #Czech #nft #gold #DojaCat\n#ArianaGrande #beyonce #Eminem #change Civilian Rights all civilians deserve sabbaticals in life \xf0\x9f\xa7\xac everyone has ancestors who fought and paid for it https://t.co/oe4ZDmwFVk',0,0,0,0
69,2022-03-21 19:17:50+00:00,1053688417689563136,b'World events are having a big impact on #Bitcoin and #crypto - a @UCalgary professor explores what the future might hold.\n\nhttps://t.co/fXsZwaVmLd\n\n#cryptocurrency @HaskayneSchool @Blockchain_CBC #Ukraine',4,0,13,0
70,2022-03-21 19:10:32+00:00,1469577636426833930,b'Why does cancer have to captivated for people in order for cures to be funded!?  f*** this government\n#civilbenefits we want 100$ a day for life from this GOV or another in its place  #BTC #hiphop #india #Ukraine #Russia #poverty  #NickiMinaj #Raw #Czech #nft #gold',0,1,0,0
71,2022-03-21 19:10:31+00:00,1471553409417453571,b'#Ethereum Cyber attack can drop the price to  $1700\n #urgent. #bitcoin #russia #RussianUkrainianWar',0,0,0,0
72,2022-03-21 19:07:41+00:00,936921844619280384,b'News | Bitcoin shores up Ukraine fighters amid Moscow\xe2\x80\x99s money meltdown #Bitcoin #Ukraine\n\nhttps://t.co/Rgdy2pxlHt',0,0,0,0
73,2022-03-21 19:03:05+00:00,1469577636426833930,b'Iv Never had a sabbatical and iv been a civilian for 33 years \n#Iran #chronic #JeffBezos  #paranormal #bank #weed  #loan #BTC #hiphop #india #Ukraine #Russia #poverty  #NickiMinaj #Raw #Czech #nft #gold \n#civilbenefits',1,0,0,0
